character,games,turns,first_actual_year,last_actual_year,community,top_partners
Aamon,1,9,2012,2012,0,Abela (1); Alexander (1); Andrey (1); Arendhil (1); Hyreen (1); Orione (1); Raxiel (1); Rua (1)
Abbo,1,2,2008,2008,1,Alcalime (1); Alexander (1); Aranel (1); Cloud (1); Daerithas (1); Dajemona (1); Fortescue (1); Hennet (1); merlinho (1); Ramyr (1); Siska (1); Skan (1); Zahet (1)
Abdulaziim,7,47,2013,2014,0,Khalux (5); Carcinero (4); Elimar (4); Arioch (3); Tarik (2); Laurens (2); Thorck (2); Erebo (2); Vahn (1); Coral (1); Francislake (1); Khira (1); Ortenzio (1); Amande (1); Aries (1)
Abel,1,9,2007,2007,6,Christof (1); Haimerick (1); Rauras (1); Siulefh (1); Thorin (1)
Abela,5,54,2012,2012,0,Orione (5); Alexander (2); Hyreen (2); Katon (2); Loxis (2); Carcinero (2); Leyana (2); Aamon (1); Andrey (1); Arendhil (1); Raxiel (1); Rua (1); Cyru (1); Lalette (1); Malll (1)
Achitia,21,238,2007,2008,2,Nimoe (6); Euridas (6); Zaharil (5); Christof (4); Adema (4); Ireth (4); Stige (4); Bill (3); Eufrasia (3); Thomas (3); Aureliano (2); Axia (2); Manfris (2); Mathis (2); Volrath (2)
Ada,12,120,2010,2013,0,Laurens (3); Francislake (3); Arles (2); Carcinero (2); Arioch (2); Dareon (1); Edwar (1); Elyen (1); Mendar (1); Yehezqel (1); Akuma (1); Amlach (1); Cerden (1); Dargh (1); Ramoth (1)
Adam,1,33,2007,2007,3,Adema (1); Archias (1); Daerithas (1); Syrcusaar (1)
Adanriel,1,8,2014,2014,0,Alester (1); Claymore (1); Coral (1); Domenique (1); Eadril (1); Erebo (1); Francislake (1); Freja (1); Izayoi (1); Nymeria (1); Thorck (1); Vahn (1)
Adema,106,1229,2006,2026,3,Vahn (36); Euridas (32); Francislake (22); Maseeri (20); Keleldur (19); Eufrasia (11); Ireth (11); Sylvimar (11); Stige (10); Arioch (10); Ariel (10); Arphenix (10); Khael (9); Nyden (8); ThamiorLothain (8)
Adhanedhel,1,20,2006,2006,6,Aleleres (1); Alisa (1); Ambry (1); Aouda (1); Ariel (1); Arthas (1); Arwin (1); Deving (1); Emelaine (1); Ervine (1); Galadriell (1); Ifrid (1); Jose (1); Kenny (1); Lalique (1)
Adhemar,2,9,2008,2008,1,Areion (2); Arendhil (1); Elyanth (1); Fortescue (1); Gruhem (1); Sifodias (1); Aranel (1); Dajemona (1); Elsah (1); Geror (1); Monfort (1); Velgarn (1)
