topic_id,topic_title,topic_url,forum_id,forum_name,topic_description,actual_start_date,actual_end_date,actual_year,date_precision,date_confidence,forum_post_date,participants_count,participants
63335379,Il Palazzo di Cera,https://fengardgiocate.forumcommunity.net/?t=63335379,8394567,NECROMUNDA,2001 6 14 Necromunda Torre Nera Clelia Izayoi,2001-06-14,2001-06-14,2001,day,high,2025-08-11,2,Clelia; Izayoi
23623501,"Hotel “Alla Cattedrale”, prezzi modici ..",https://fengardgiocate.forumcommunity.net/?t=23623501,998077,FENGARD,2002 Cattedrale Fengard,2002-01-01,2002-12-31,2002,year,low,2009-01-17,4,Cornelia; dattina; Demon; Faelya
56613538,"La cattura di Antares, il predicatore",https://fengardgiocate.forumcommunity.net/?t=56613538,8630982,GHILEAS,19 6 2 Oasi delle Ninfee,2002-06-19,2002-06-19,2002,day,medium,2014-07-23,6,Amaranth; Brusjean; Essedil; Francislake; Khalux; Morgoth
23510413,“Ammissione”,https://fengardgiocate.forumcommunity.net/?t=23510413,1007000,Giocate Storiche...e... di altri Tempi (commenti),2003/4 Cattedrale Fengard,2003-01-01,2003-12-31,2003,year,low,2009-01-14,2,Esgaloth; Ylerei
52970482,l'ultima sensazione...,https://fengardgiocate.forumcommunity.net/?t=52970482,998076,FENGARD,2003-11-16 — 16 11 2003 Arena Fengard,2003-11-16,2003-11-16,2003,day,high,2012-11-11,2,Neolegolas; Vahn
53680615,Rhyannor riporta in vita Vahn,https://fengardgiocate.forumcommunity.net/?t=53680615,998166,GHILEAS,‎16 ‎novembre ‎2003 Bosco Sacro Ghileas,2003-11-16,2003-11-16,2003,day,high,2013-02-09,2,Rhyannor; Vahn
54893168,Pazzia,https://fengardgiocate.forumcommunity.net/?t=54893168,998077,FENGARD,19 11 2003 Cattedrale Fengard,2003-11-19,2003-11-19,2003,day,high,2013-08-04,2,Cassandra; Vahn
6205390,Elezione del Governatore di Fengard: Loriel- parte prima-,https://fengardgiocate.forumcommunity.net/?t=6205390,1007000,Giocate Storiche...e... di altri Tempi (commenti),..fra dicembre 2003 e gennaio 2004..,2003-12-01,2003-12-31,2003,month,medium,2007-04-13,13,Ayla; Cloud; Loriel; Manadriel; Midhriel; Miroth; Oltar; Rhoan; Sealyan; Sifodias; Thorek; Unicorn; Vosthyl
53679704,Musica e Calewiewien,https://fengardgiocate.forumcommunity.net/?t=53679704,998077,FENGARD,11 12 2003 parco Cattedrale Fengard,2003-12-11,2003-12-11,2003,day,high,2012-11-11,2,Calewiewien; Vahn
local:2004:cagliostro:b6fbad840ec7cb,cagliostro,sources/2004_cagliostro_b6fbad840ec7cb.html,local,Archivio locale,"2004 — Aglae, Cagliostro, Cassandra, Han, Owyn, Vahn",2004-01-01,2004-12-31,2004,year,low,,6,Aglae; Cagliostro; Cassandra; Han; Owyn; Vahn
54689540,Owyn da lezione di combattimento..,https://fengardgiocate.forumcommunity.net/?t=54689540,998076,FENGARD,2004 fine estate Arena Fengard,2004-01-01,2004-12-31,2004,year,low,2013-07-06,5,Eithel; Malduin; Miroth; Owyn; Valandelian
6341537,Owyn da lezioni di...combattimento,https://fengardgiocate.forumcommunity.net/?t=6341537,998076,FENGARD,Fine Estate 2004,2004-01-01,2004-12-31,2004,year,low,2007-04-24,5,Eithel; Malduin; Miroth; Owyn; Valandelian
23506145,Un mistico e ..un senza re !,https://fengardgiocate.forumcommunity.net/?t=23506145,998079,FENGARD,2004 taverna Fengard,2004-01-01,2004-12-31,2004,year,low,2009-01-13,6,buru; Eithel; Joandir; Krimgor; Steel; Ylerei
54686792,"Chi sangue farà versare su questo suolo, penzolerà dalla forca l'indomani!",https://fengardgiocate.forumcommunity.net/?t=54686792,998166,GHILEAS,2004 Estate Bosco Sacro Ghileas,2004-01-01,2004-12-31,2004,year,low,2013-07-05,11,Cloud; Eithel; Ella; Eorinan; Eyona; GaretJax; Imrahil; Loke; Loki; Malduin; Wiliand
6353952,Dal Bosco Sacro verso Ghileas,https://fengardgiocate.forumcommunity.net/?t=6353952,998166,GHILEAS,2004/05,2004-01-01,2004-12-31,2004,year,low,2007-04-25,4,Eithel; Eldur; Levesque; Malduin
6356560,La Guarnigione va a raccoglier legna nel bosco Sacro,https://fengardgiocate.forumcommunity.net/?t=6356560,998166,GHILEAS,Estate 2004,2004-01-01,2004-12-31,2004,year,low,2007-04-25,11,Cloud; Eithel; Ella; Eorinan; Eyona; GaretJax; Imrahil; Loke; Loki; Malduin; Wiliand
54683021,Lamariani attraversano il Bosco Sacro,https://fengardgiocate.forumcommunity.net/?t=54683021,998166,GHILEAS,FINE 2004 PRIMI 2005 Bosco Ghileas,2004-01-01,2005-12-31,2004,year,low,2013-07-05,4,Eithel; Eldur; Levesque; Malduin
6516413,Quest Guardaboski contro Orchi (1),https://fengardgiocate.forumcommunity.net/?t=6516413,998166,GHILEAS,Estate 2004,2004-01-01,2004-12-31,2004,year,low,2007-05-06,5,Francis; Melwen; Sultha; Tremain; Wonderela
6515998,Quest Guardaboski contro Orchi (2),https://fengardgiocate.forumcommunity.net/?t=6515998,998166,GHILEAS,Estate 2004,2004-01-01,2004-12-31,2004,year,low,2007-05-06,4,Dehro; Melwen; Tremain; Wonderela
6530171,Quest Guardaboski contro Orchi (3),https://fengardgiocate.forumcommunity.net/?t=6530171,998166,GHILEAS,Estate 2004,2004-01-01,2004-12-31,2004,year,low,2007-05-07,5,Eugharas; Francis; Melwen; Tremain; Wonderela
6523951,Quest Guardaboski contro Orchi (4),https://fengardgiocate.forumcommunity.net/?t=6523951,998166,GHILEAS,Estate 2004,2004-01-01,2004-12-31,2004,year,low,2007-05-06,6,Anthony; Arphenix; Dehro; Gaart; Norman; Tremain
6456729,Quest Guardaboski contro Orchi (5),https://fengardgiocate.forumcommunity.net/?t=6456729,998166,GHILEAS,Estate 2004,2004-01-01,2004-12-31,2004,year,low,2007-05-02,5,Dehro; Francis; Norman; Tremain; Wonderela
6530280,Quest Guardaboski contro Orchi (6),https://fengardgiocate.forumcommunity.net/?t=6530280,998166,GHILEAS,Estate 2004,2004-01-01,2004-12-31,2004,year,low,2007-05-07,4,Anthony; Dehro; Francis; Tremain
6530387,Quest Guardaboski contro Orchi (7),https://fengardgiocate.forumcommunity.net/?t=6530387,998166,GHILEAS,Estate 2004,2004-01-01,2004-12-31,2004,year,low,2007-05-07,6,Anthony; Arphenix; Francis; Gaart; Norman; Tremain
6328076,Battaglia di Lamar,https://fengardgiocate.forumcommunity.net/?t=6328076,1007000,Giocate Storiche...e... di altri Tempi (commenti),2004/2005,2004-01-01,2005-12-31,2004,year,low,2007-04-22,20,Alsen; Anarion; Arwiel; Asgard; Cleryon; deargh; Dercatur; Hamild; Ireth; Kahzar; Krimgor; Loki; Loriel; merlinho; Midhriel; Saykon; Sbrok; Teclis; Tyreal; Unicorn
23510795,"Il rituale di protezione, nel rifugio degli Eldar",https://fengardgiocate.forumcommunity.net/?t=23510795,1007000,Giocate Storiche...e... di altri Tempi (commenti),"2004 Radura dell'Aur Hoth ""Fengard""",2004-01-01,2004-12-31,2004,year,low,2009-01-14,12,Aglae; Aneesha; charis; Danyfer; Esgaloth; Ester; Finarfin; Istar; Lucrezia; Mynoth; Silmarien; Ylerei
14464049,"La bataglia di Lamar """"PRIMA PARTE""""",https://fengardgiocate.forumcommunity.net/?t=14464049,1007000,Giocate Storiche...e... di altri Tempi (commenti),2004/2005,2004-01-01,2005-12-31,2004,year,low,2008-04-08,20,Alsen; Anarion; Arwiel; Asgard; Cleryon; deargh; Dercatur; Hamild; Ireth; Kahzar; Krimgor; Loki; Loriel; merlinho; Midhriel; Saykon; Sbrok; Teclis; Tyreal; Unicorn
14464057,"La battaglia di Lamar """"SECONDA PARTE""""",https://fengardgiocate.forumcommunity.net/?t=14464057,1007000,Giocate Storiche...e... di altri Tempi (commenti),2004/2005 Lamar,2004-01-01,2005-12-31,2004,year,low,2008-04-08,20,Alsen; Anarion; Arwiel; Asgard; Cleryon; deargh; Hamild; Ireth; Kahzar; Krimgor; Loki; Loriel; merlinho; Midhriel; Mirokan; Saykon; Sealyan; Teclis; Tyreal; Unicorn
6355613,Parata in Onore del Sovrintendente e Capitano Cloud,https://fengardgiocate.forumcommunity.net/?t=6355613,1007000,Giocate Storiche...e... di altri Tempi (commenti),2004,2004-01-01,2004-12-31,2004,year,low,2007-04-25,11,Ariendehel; Cloud; Ella; Gween; Keleldur; Kelen; Loki; Malduin; Sismor; Wiliand; Xebox
